lon,lat,depth
-76.491791,44.203629,17.436283
-76.493019,44.202530,17.121807
-76.491936,44.201077,16.829260
-76.489578,44.200836,16.960367
-76.488037,44.199570,13.784219
-76.488823,44.198460,10.617553
-76.487053,44.197357,7.159158
-76.487801,44.196278,6.749843
-76.486389,44.195068,6.372701
-76.487579,44.193985,6.132996
-76.487083,44.192699,5.988606
-76.485313,44.192348,5.930142
-76.484924,44.191113,5.378304
-76.482735,44.191223,5.019081
-76.481903,44.190308,4.645391
-76.483269,44.189037,4.070909
-76.482368,44.187870,4.060747
-76.483482,44.186539,4.252748
-76.482422,44.185268,5.077001
-76.483429,44.183895,5.415033
-76.482285,44.182636,4.241668
-76.483223,44.181225,2.820172
-76.341866,44.150478,2.545709
-76.340004,44.149502,4.434945
-76.338249,44.150055,6.772984
-76.336357,44.149227,11.664100
-76.336273,44.147778,14.112745
-76.334297,44.147324,20.148972
-76.334053,44.145802,22.300060
-76.331779,44.145718,29.106159
-76.330727,44.144440,33.972019
-76.331703,44.142792,37.027081
-76.330101,44.141510,33.046906
-76.366508,44.149933,3.265982
-76.365791,44.151340,2.850346
-76.363678,44.151581,3.157418
-76.361671,44.150509,4.403319
-76.359520,44.151287,5.493193
-76.359550,44.152760,4.666732
-76.357513,44.153568,6.173461
-76.354912,44.152821,7.711247
-76.352173,44.153461,8.350810
-76.352730,44.155014,9.124689
-76.349892,44.155609,10.480534
-76.347443,44.154499,7.682133
-76.345757,44.154999,5.723539
-76.344086,44.154144,2.486660
-76.343994,44.152706,2.374481
-76.341957,44.152035,2.524928
-76.372444,44.144428,3.068056
-76.371315,44.145752,3.284742
-76.369598,44.145920,3.523475
-76.368645,44.147358,3.619600
-76.369728,44.148579,3.214779
-76.368896,44.149933,3.037116
-76.373535,44.139065,1.142340
-76.375175,44.140259,1.372435
-76.374641,44.141724,1.955757
-76.376343,44.142780,2.184224
-76.376099,44.144318,2.380284
-76.374390,44.144939,2.750082
-76.327629,44.141644,21.322947
-76.326500,44.140018,11.480788
-76.324196,44.139355,10.645022
-76.323708,44.137314,9.874070
-76.321388,44.136566,8.397695
-76.321297,44.134808,6.133740
-76.319374,44.134121,3.765362
-76.488968,44.220642,12.367435
-76.488594,44.219250,18.493813
-76.487495,44.221767,7.589872
-76.486679,44.218842,18.950005
-76.486580,44.217281,19.382952
-76.488426,44.216156,18.939171
-76.488441,44.214703,18.520025
-76.486511,44.214039,18.496134
-76.487007,44.212498,18.600178
-76.485558,44.211376,18.496798
-76.486504,44.209843,18.588955
-76.485168,44.208553,18.275074
-76.486229,44.207214,18.144455
-76.485146,44.205872,17.752686
-76.486259,44.204578,17.598478
-76.488403,44.204662,17.697153
-76.489555,44.203419,17.460337
-76.488434,44.202084,17.276968
-76.486137,44.202011,17.244772
-76.484650,44.200825,13.765129
-76.485405,44.199635,10.621175
-76.483780,44.198517,7.070776
